// Start Time: Unknown
// Update Rate: Various
// Filter Profile: General (1.17)
// Option Flags: AHS Enabled ICC Enabled 
// GNSS Platform: Portable
// Firmware Version: 1.4.12
PacketCounter	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
48839									0.191735	-0.052098	9.822940	0.000259	0.000646	-0.002305	-0.032392	0.391833	1.049373			
48840									0.191649	-0.054483	9.837300	0.001246	-0.000312	-0.006155	-0.031098	0.388078	1.068943			
48841									0.174889	-0.040296	9.830098	0.000242	0.002568	-0.003583	-0.028121	0.387289	1.055588			
48842									0.177367	-0.054563	9.832489	0.001526	0.000979	-0.000701	-0.023619	0.387299	1.059871			
48843									0.184489	-0.049762	9.832503	0.001866	0.000338	-0.003268	-0.032664	0.392131	1.055184			
48844									0.191701	-0.054480	9.830119	-0.000358	-0.001285	-0.002630	-0.021529	0.385077	1.063946			
48845									0.182300	-0.064052	9.820524	-0.000045	0.000319	-0.005190	-0.027869	0.389417	1.051716			
48846									0.191681	-0.047339	9.825335	-0.001349	0.002553	-0.005507	-0.030645	0.387582	1.059257			
48847									0.194016	-0.049708	9.834912	-0.001028	0.001915	-0.004226	-0.028030	0.387190	1.053651			
48848									0.186965	-0.059268	9.830109	-0.000372	0.000637	-0.004549	-0.030786	0.382928	1.059252			
48849									0.170242	-0.049841	9.822905	-0.001353	0.000952	-0.000700	-0.030282	0.387185	1.051509			
48850									0.182195	-0.064056	9.834885	0.001177	0.005143	-0.004859	-0.021458	0.387404	1.063949			
48851									0.191700	-0.052100	9.827727	0.002478	0.002271	-0.001982	-0.030050	0.391739	1.049578			
48852									0.191827	-0.063998	9.822934	0.002169	0.001306	-0.001983	-0.028373	0.385161	1.059459			
48853									0.189491	-0.056867	9.808572	0.000895	0.001294	-0.002945	-0.032190	0.389208	1.043559			
48854									0.191828	-0.066379	9.825326	-0.000074	0.001926	-0.002943	-0.028373	0.385161	1.059459			
48855									0.182264	-0.061673	9.822919	0.001240	-0.000310	-0.004551	-0.020843	0.389135	1.052330			
48856									0.191808	-0.061618	9.822935	0.002804	0.002594	-0.003904	-0.035278	0.392523	1.060791			
48857									0.177561	-0.059316	9.810944	-0.000078	0.002246	-0.002621	-0.027869	0.389417	1.051716			
48858									0.179659	-0.035507	9.825321	0.001493	0.004187	-0.001336	-0.023800	0.387498	1.063745			
48859									0.177473	-0.056939	9.820520	0.001541	0.000656	-0.002946	-0.032553	0.389605	1.051307			
48860									0.175069	-0.056954	9.822909	0.003129	0.002274	-0.004225	-0.028373	0.385161	1.059459			
48861									0.182119	-0.047394	9.827713	0.002549	-0.002865	-0.004558	-0.025476	0.394076	1.053863			
48862									0.189495	-0.068771	9.820534	0.000899	0.000972	-0.003266	-0.019187	0.384983	1.064151			
48863									0.175107	-0.066475	9.827692	0.001836	0.002904	-0.003261	-0.018198	0.395922	1.050605			
48864									0.184596	-0.056900	9.825319	-0.002626	0.000939	-0.002303	-0.028303	0.387488	1.059462			
48865									0.191881	-0.071138	9.822930	0.001225	-0.000306	-0.001345	-0.034683	0.396680	1.051112			
48866									0.186838	-0.044988	9.832509	0.002811	0.001631	-0.003266	-0.033077	0.387775	1.060990			
48867									0.203774	-0.061548	9.818168	0.001554	-0.000624	-0.002309	-0.032553	0.389605	1.051307			
48868									0.184631	-0.056898	9.820532	0.001516	0.003223	-0.003902	-0.021347	0.384879	1.060072			
48869									0.163210	-0.064161	9.820492	0.001875	0.000335	-0.005190	-0.028030	0.387190	1.053651			
48870									0.184741	-0.071178	9.820525	0.002834	-0.000294	-0.003269	-0.033128	0.383022	1.059047			
48871									0.182266	-0.068815	9.830096	-0.001020	0.000633	-0.002945	-0.020883	0.393987	1.056209			
48872									0.177397	-0.040277	9.813347	0.001850	0.002262	-0.004225	-0.026051	0.387493	1.061603			
48873									0.189211	-0.056879	9.846869	-0.000380	0.000638	-0.002946	-0.025819	0.392047	1.059672			
48874									0.196509	-0.056832	9.827732	-0.000700	0.001277	-0.004227	-0.044969	0.388444	1.063842			
48875									0.184545	-0.061664	9.837284	0.001583	-0.002553	-0.004236	-0.030322	0.392037	1.055389			
48876									0.194162	-0.068748	9.834903	0.002177	0.001304	-0.003907	-0.023749	0.392251	1.065687			
48877									0.182209	-0.054533	9.822922	-0.001969	-0.000338	-0.002627	-0.023276	0.389328	1.054062			
48878									0.179773	-0.061691	9.837276	-0.001313	-0.000657	-0.005513	-0.037801	0.392815	1.064461			
48879									0.189477	-0.068772	9.822927	0.002485	0.001630	-0.001982	-0.025708	0.389522	1.055795			
48880									0.194234	-0.073507	9.830114	0.000254	0.001287	-0.003265	-0.033148	0.385448	1.060987			
